,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.571,0.688,0.21,0.644,0.769,0.778,0.5605,0.75,0.174,0.649,0.8275,0.7945
1,0.548,0.75,0.215,0.662,0.783,0.795,0.5415,0.75,0.1695,0.667,0.7955,0.791
2,0.537,0.75,0.215,0.679,0.78,0.811,0.5335,0.75,0.218,0.712,0.772,0.8075
3,0.529,0.75,0.211,0.684,0.786,0.823,0.544,0.75,0.2315,0.68,0.789,0.7915
4,0.497,0.75,0.188,0.72,0.807,0.85,0.5465,0.75,0.1415,0.7005,0.802,0.8135
5,0.468,0.812,0.159,0.751,0.824,0.873,0.5735,0.688,0.1605,0.739,0.6645,0.784
6,0.431,0.812,0.135,0.785,0.828,0.9,0.6005,0.688,0.1415,0.7335,0.683,0.75
7,0.403,0.812,0.121,0.797,0.851,0.921,0.6025,0.688,0.137,0.7155,0.696,0.7575
8,0.393,0.812,0.115,0.804,0.86,0.927,0.61,0.688,0.137,0.6645,0.7545,0.7735
9,0.393,0.812,0.115,0.803,0.857,0.927,0.6065,0.688,0.13,0.693,0.7185,0.77
