,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.593,0.703,0.191,0.636,0.754,0.757,0.5995,0.703,0.133,0.6545,0.75,0.7325
1,0.552,0.727,0.2,0.654,0.789,0.789,0.5565,0.7035,0.2025,0.681,0.7345,0.7575
2,0.539,0.734,0.192,0.659,0.797,0.795,0.5715,0.719,0.1535,0.644,0.783,0.775
3,0.514,0.75,0.2,0.695,0.796,0.819,0.571,0.711,0.214,0.7615,0.685,0.7625
4,0.491,0.766,0.18,0.721,0.806,0.837,0.5745,0.719,0.1605,0.7165,0.736,0.7745
5,0.442,0.797,0.151,0.76,0.83,0.876,0.6055,0.703,0.1565,0.721,0.683,0.7545
6,0.411,0.812,0.132,0.788,0.842,0.897,0.6055,0.703,0.142,0.7485,0.6775,0.757
7,0.392,0.828,0.124,0.8,0.849,0.907,0.607,0.711,0.1445,0.783,0.6315,0.76
8,0.395,0.828,0.122,0.801,0.847,0.906,0.6045,0.703,0.1325,0.732,0.6655,0.7585
9,0.393,0.828,0.122,0.803,0.847,0.908,0.6035,0.703,0.138,0.736,0.6635,0.7585
