,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.037104915776413984,0.05599857891804791,0.16564026290940465,0.05494531816258769,0.07999283000902552,0.06755593833857099,0.03823218539398446,0.04357407486109141,0.020849460424672884,0.0960963058603191,0.10336682253024905,0.0511370707021824
1,0.020028395757939174,0.022721152055975302,0.05660444384554151,0.04848909353857002,0.03220302058091034,0.02656695886441096,0.030696905381487533,0.04130738432774458,0.021314314438892912,0.11627854488253626,0.07241063457807838,0.049140614566771594
2,0.02841144505670575,0.024292048155797892,0.041588250535248325,0.053545678066858386,0.07120143358208558,0.02443945144201864,0.04525151931151041,0.04432042418569568,0.04811756436063654,0.07151083833937341,0.0898036747577737,0.05085961069453834
3,0.0449138146982724,0.027708857442716416,0.06814746199658926,0.04272583524048414,0.07094965012495025,0.025926177247459107,0.07408238657062824,0.052064383219241145,0.02575849374478251,0.08098456643089474,0.12122582233171282,0.05050247518686583
4,0.029269253307680897,0.02422331044198478,0.041950474876243565,0.04241251373499713,0.040506070430760634,0.029183945975530833,0.0518632818090024,0.04778807382600808,0.03416577234601906,0.11313929467696004,0.09329362250443488,0.054440793528382735
5,0.048139639850386565,0.032633946657958414,0.05628528256154563,0.034323317003024205,0.05384989146517206,0.03762448806431925,0.06750333325103287,0.04767389222624894,0.040307567527698804,0.07783957862167551,0.08114308350069029,0.059995833188647346
6,0.06216143131833069,0.03808444465821874,0.05253951751682633,0.03246291485435098,0.06450802496810211,0.04246731652662991,0.08193900170248596,0.05730445008897651,0.05158294291720859,0.07539429686654026,0.11961103628010251,0.05653052272887629
7,0.0666407382011033,0.03986327985855005,0.034015033772179654,0.02773523468880773,0.07255264217026067,0.04396927674294061,0.07558438992278761,0.04688603203513813,0.050545029429212913,0.06985842826746105,0.10022325079541174,0.05358357957434347
8,0.05692106382972395,0.03771787557827374,0.03284022655951814,0.04074199197277804,0.05487333216219498,0.044980576388617494,0.06420669746996803,0.04582248356429405,0.04112784944535758,0.08875978819262695,0.088380993431846,0.053854433429384424
9,0.060954667347722216,0.03909238691503391,0.030793022102583726,0.03971486208298186,0.0601072489919592,0.04595395266748843,0.06649285675920384,0.04626337644400805,0.04270480066690394,0.08801249911234198,0.08993164070559369,0.05332260308724621
