11/26 11:50:18 PM | TRAINING: Epoch: 1,TPR[all:,0.428,HumanFC:,0.332,EpiMap:,0.52,TFs:,0.393,,,,,,
11/26 11:50:23 PM | TRAINING: Epoch: 1,TPR[all:,0.416,HumanFC:,0.331,EpiMap:,0.511,TFs:,0.392,,,,,,
11/26 11:50:28 PM | TRAINING: Epoch: 1,TPR[all:,0.434,HumanFC:,0.331,EpiMap:,0.515,TFs:,0.401,,,,,,
11/26 11:50:33 PM | TRAINING: Epoch: 1,TPR[all:,0.433,HumanFC:,0.342,EpiMap:,0.513,TFs:,0.401,,,,,,
11/26 11:50:37 PM | TRAINING: Epoch: 1,TPR[all:,0.414,HumanFC:,0.327,EpiMap:,0.521,TFs:,0.379,,,,,,
11/26 11:50:42 PM | TRAINING: Epoch: 1,TPR[all:,0.408,HumanFC:,0.317,EpiMap:,0.517,TFs:,0.385,,,,,,
11/26 11:50:47 PM | TRAINING: Epoch: 1,TPR[all:,0.411,HumanFC:,0.325,EpiMap:,0.506,TFs:,0.384,,,,,,
11/26 11:50:52 PM | TRAINING: Epoch: 1,TPR[all:,0.408,HumanFC:,0.316,EpiMap:,0.505,TFs:,0.371,,,,,,
11/26 11:50:56 PM | TRAINING: Epoch: 1,TPR[all:,0.406,HumanFC:,0.3,EpiMap:,0.504,TFs:,0.374,,,,,,
11/26 11:51:01 PM | TRAINING: Epoch: 1,TPR[all:,0.396,HumanFC:,0.31,EpiMap:,0.493,TFs:,0.37,,,,,,
11/26 11:51:06 PM | TRAINING: Epoch: 1,TPR[all:,0.4,HumanFC:,0.314,EpiMap:,0.502,TFs:,0.368,,,,,,
11/26 11:51:11 PM | TRAINING: Epoch: 1,TPR[all:,0.384,HumanFC:,0.3,EpiMap:,0.489,TFs:,0.355,,,,,,
11/26 11:51:16 PM | TRAINING: Epoch: 1,TPR[all:,0.396,HumanFC:,0.301,EpiMap:,0.486,TFs:,0.365,,,,,,
11/26 11:51:20 PM | TRAINING: Epoch: 1,TPR[all:,0.404,HumanFC:,0.298,EpiMap:,0.486,TFs:,0.362,,,,,,
11/26 11:51:25 PM | TRAINING: Epoch: 1,TPR[all:,0.388,HumanFC:,0.297,EpiMap:,0.485,TFs:,0.355,,,,,,
11/26 11:51:30 PM | TRAINING: Epoch: 1,TPR[all:,0.391,HumanFC:,0.293,EpiMap:,0.488,TFs:,0.358,,,,,,
11/26 11:51:35 PM | TRAINING: Epoch: 1,TPR[all:,0.377,HumanFC:,0.288,EpiMap:,0.471,TFs:,0.357,,,,,,
11/26 11:51:40 PM | TRAINING: Epoch: 1,TPR[all:,0.377,HumanFC:,0.283,EpiMap:,0.468,TFs:,0.359,,,,,,
11/26 11:51:44 PM | TRAINING: Epoch: 1,TPR[all:,0.377,HumanFC:,0.271,EpiMap:,0.482,TFs:,0.36,,,,,,
11/26 11:51:49 PM | TRAINING: Epoch: 1,TPR[all:,0.38,HumanFC:,0.283,EpiMap:,0.472,TFs:,0.349,,,,,,
