,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.397,0.844,0.193,0.5625,0.93,0.845,0.383,0.828,0.225,0.46,0.971,0.902
1,0.362,0.859,0.184,0.564,0.942,0.8725,0.375,0.859,0.232,0.701,0.926,0.92
2,0.3175,0.875,0.158,0.6225,0.9525,0.903,0.345,0.859,0.121,0.631,0.946,0.913
3,0.2815,0.891,0.1285,0.679,0.955,0.926,0.333,0.859,0.116,0.626,0.948,0.894
4,0.242,0.906,0.111,0.736,0.96,0.9505,0.367,0.859,0.131,0.654,0.927,0.93
5,0.227,0.922,0.102,0.7575,0.9605,0.958,0.372,0.852,0.112,0.663,0.939,0.891
