,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.5085,0.818,0.1105,0.6035,0.8775,0.824,0.574,0.73,0.131,0.858,0.588,0.785
1,0.371,0.855,0.0795,0.56,0.9425,0.8565,0.616,0.723,0.079,0.86,0.602,0.781
2,0.3395,0.866,0.077,0.588,0.9465,0.878,0.682,0.736,0.092,0.913,0.559,0.794
3,0.3055,0.883,0.0635,0.634,0.9525,0.9055,0.614,0.745,0.099,0.861,0.615,0.799
4,0.263,0.906,0.055,0.701,0.958,0.93,0.726,0.727,0.077,0.88,0.56,0.78
5,0.243,0.914,0.049,0.7375,0.9605,0.9435,0.663,0.727,0.08,0.844,0.627,0.765
6,0.233,0.914,0.047,0.7525,0.961,0.951,0.684,0.73,0.083,0.875,0.6,0.794
7,0.226,0.918,0.045,0.7585,0.963,0.954,0.721,0.723,0.078,0.89,0.572,0.794
8,0.222,0.918,0.045,0.761,0.961,0.955,0.709,0.727,0.08,0.879,0.585,0.791
9,0.2215,0.922,0.046,0.765,0.964,0.955,0.689,0.725,0.082,0.875,0.594,0.793
