,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.497,0.82,0.101,0.605,0.87,0.823,0.448,0.816,0.06,0.618,0.895,0.817
1,0.376,0.855,0.079,0.571,0.941,0.857,0.418,0.82,0.066,0.69,0.894,0.829
2,0.336,0.867,0.077,0.587,0.947,0.88,0.443,0.82,0.064,0.7,0.877,0.806
3,0.307,0.883,0.066,0.636,0.953,0.902,0.523,0.833,0.049,0.596,0.933,0.79
4,0.277,0.902,0.057,0.685,0.956,0.924,0.461,0.829,0.065,0.602,0.92,0.826
5,0.25,0.91,0.05,0.726,0.959,0.94,0.44,0.837,0.056,0.624,0.921,0.829
6,0.236,0.914,0.048,0.74,0.959,0.948,0.451,0.836,0.052,0.669,0.925,0.819
7,0.229,0.918,0.046,0.756,0.958,0.952,0.436,0.84,0.053,0.675,0.921,0.821
8,0.225,0.918,0.046,0.758,0.961,0.954,0.426,0.84,0.051,0.687,0.922,0.825
9,0.227,0.918,0.046,0.753,0.963,0.953,0.443,0.836,0.051,0.667,0.928,0.823
