,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.407,0.871,0.159,0.386,0.942,0.786,0.373,0.8875,0.1805,0.54,0.903,0.7645
1,0.381,0.875,0.144,0.448,0.938,0.826,0.369,0.902,0.1575,0.5675,0.9,0.76
2,0.367,0.885,0.132,0.501,0.935,0.846,0.4,0.876,0.1205,0.6075,0.875,0.775
3,0.339,0.898,0.119,0.544,0.935,0.878,0.3765,0.8795,0.112,0.579,0.897,0.812
4,0.312,0.91,0.103,0.598,0.939,0.894,0.4225,0.87,0.103,0.537,0.897,0.7665
5,0.285,0.922,0.092,0.646,0.942,0.922,0.4165,0.857,0.109,0.6305,0.867,0.768
6,0.266,0.934,0.083,0.68,0.946,0.929,0.428,0.8665,0.105,0.607,0.883,0.757
7,0.253,0.938,0.079,0.699,0.948,0.938,0.433,0.858,0.103,0.6305,0.8715,0.764
8,0.25,0.936,0.078,0.707,0.947,0.937,0.4385,0.863,0.1005,0.6205,0.8775,0.7585
9,0.251,0.936,0.078,0.702,0.948,0.939,0.437,0.859,0.1015,0.64,0.8685,0.7615
