,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,1.092,0.871,0.16,0.389,0.942,0.786,0.369,0.8935,0.157,0.465,0.9315,0.76
1,0.584,0.875,0.145,0.443,0.937,0.819,0.3685,0.897,0.1435,0.5175,0.9145,0.7545
2,0.463,0.875,0.137,0.475,0.936,0.829,0.376,0.873,0.148,0.631,0.888,0.81
3,0.434,0.883,0.132,0.488,0.935,0.84,0.359,0.9005,0.1175,0.4945,0.9335,0.7905
4,0.427,0.883,0.128,0.513,0.932,0.848,0.3865,0.863,0.1435,0.5885,0.887,0.799
5,0.41,0.895,0.118,0.545,0.936,0.87,0.368,0.891,0.1155,0.4875,0.9285,0.761
6,0.385,0.908,0.105,0.598,0.941,0.895,0.398,0.8535,0.1205,0.5665,0.891,0.7885
7,0.356,0.924,0.094,0.644,0.946,0.914,0.401,0.881,0.1115,0.443,0.915,0.773
8,0.344,0.926,0.088,0.665,0.947,0.919,0.403,0.877,0.108,0.4665,0.918,0.769
9,0.34,0.93,0.087,0.666,0.95,0.922,0.4045,0.876,0.108,0.4585,0.916,0.764
