,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.398,0.875,0.151,0.406,0.94,0.796,0.3785,0.8985,0.1205,0.4185,0.9505,0.7795
1,0.386,0.873,0.137,0.443,0.935,0.818,0.392,0.8895,0.1015,0.301,0.973,0.749
2,0.381,0.875,0.13,0.47,0.937,0.826,0.3705,0.89,0.109,0.475,0.9435,0.8125
3,0.372,0.883,0.128,0.48,0.936,0.838,0.357,0.9035,0.1105,0.466,0.951,0.7945
4,0.37,0.879,0.129,0.498,0.933,0.84,0.363,0.8895,0.1435,0.525,0.911,0.827
5,0.36,0.887,0.123,0.508,0.936,0.852,0.3665,0.9025,0.1165,0.4825,0.9285,0.7925
6,0.348,0.891,0.117,0.537,0.935,0.865,0.3745,0.8955,0.1215,0.4975,0.9245,0.8125
7,0.324,0.904,0.109,0.578,0.939,0.886,0.384,0.88,0.113,0.4905,0.917,0.806
8,0.311,0.91,0.101,0.604,0.94,0.895,0.39,0.882,0.105,0.466,0.923,0.8005
9,0.302,0.914,0.099,0.612,0.941,0.906,0.3925,0.873,0.104,0.4685,0.9225,0.798
