,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.396,0.871,0.153,0.411,0.94,0.794,0.358,0.889,0.142,0.513,0.9245,0.8205
1,0.372,0.875,0.135,0.476,0.936,0.825,0.3565,0.891,0.1315,0.535,0.9265,0.822
2,0.353,0.891,0.122,0.534,0.935,0.854,0.388,0.871,0.136,0.6205,0.8735,0.8215
3,0.318,0.902,0.105,0.598,0.938,0.891,0.386,0.875,0.1195,0.5385,0.894,0.8
4,0.281,0.922,0.088,0.661,0.94,0.918,0.4025,0.879,0.0925,0.4845,0.9165,0.807
5,0.247,0.93,0.074,0.717,0.946,0.938,0.422,0.875,0.0855,0.5105,0.894,0.802
6,0.225,0.938,0.064,0.754,0.951,0.95,0.431,0.867,0.0795,0.533,0.892,0.811
7,0.21,0.945,0.059,0.775,0.954,0.959,0.4395,0.871,0.0805,0.5365,0.88,0.805
8,0.206,0.945,0.057,0.782,0.955,0.959,0.4375,0.863,0.0765,0.536,0.882,0.805
9,0.203,0.945,0.056,0.784,0.955,0.959,0.438,0.869,0.0795,0.54,0.877,0.8035
