,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.407,0.873,0.16,0.385,0.943,0.783,0.3705,0.8845,0.162,0.4945,0.9155,0.7575
1,0.381,0.877,0.144,0.445,0.938,0.82,0.359,0.9025,0.138,0.533,0.921,0.7685
2,0.367,0.883,0.132,0.5,0.934,0.845,0.3795,0.861,0.1305,0.665,0.8625,0.8045
3,0.34,0.898,0.118,0.546,0.936,0.878,0.3975,0.8925,0.108,0.4885,0.93,0.782
4,0.311,0.914,0.104,0.599,0.94,0.896,0.412,0.867,0.119,0.537,0.887,0.7695
5,0.287,0.926,0.091,0.646,0.943,0.922,0.4105,0.868,0.102,0.5765,0.882,0.7795
6,0.267,0.934,0.084,0.679,0.946,0.93,0.418,0.867,0.1,0.612,0.8635,0.7845
7,0.253,0.938,0.079,0.702,0.949,0.936,0.4305,0.865,0.1005,0.5995,0.8615,0.7785
8,0.251,0.938,0.078,0.703,0.947,0.937,0.429,0.865,0.0985,0.58,0.8715,0.776
9,0.25,0.936,0.078,0.704,0.947,0.937,0.434,0.866,0.099,0.596,0.863,0.779
