11/06 09:07:25 AM | VALIDATION: Batch: 200/279,TPR[all:,0.037,HumanFC:,0,EpiMap:,0.075,TFs:,0.006
11/06 09:07:31 AM | VALIDATION: Batch: 205/279,TPR[all:,0.041,HumanFC:,0,EpiMap:,0.083,TFs:,0.003
11/06 09:07:37 AM | VALIDATION: Batch: 210/279,TPR[all:,0.037,HumanFC:,0,EpiMap:,0.08,TFs:,0.003
11/06 09:07:42 AM | VALIDATION: Batch: 215/279,TPR[all:,0.033,HumanFC:,0,EpiMap:,0.077,TFs:,0.005
11/06 09:07:48 AM | VALIDATION: Batch: 220/279,TPR[all:,0.044,HumanFC:,0,EpiMap:,0.081,TFs:,0.005
11/06 09:07:54 AM | VALIDATION: Batch: 225/279,TPR[all:,0.035,HumanFC:,0,EpiMap:,0.081,TFs:,0.003
11/06 09:08:00 AM | VALIDATION: Batch: 230/279,TPR[all:,0.04,HumanFC:,0,EpiMap:,0.081,TFs:,0.004
11/06 09:08:06 AM | VALIDATION: Batch: 235/279,TPR[all:,0.032,HumanFC:,0,EpiMap:,0.065,TFs:,0.002
11/06 09:08:11 AM | VALIDATION: Batch: 240/279,TPR[all:,0.035,HumanFC:,0,EpiMap:,0.072,TFs:,0.003
11/06 09:08:17 AM | VALIDATION: Batch: 245/279,TPR[all:,0.04,HumanFC:,0,EpiMap:,0.083,TFs:,0.005
11/06 09:08:23 AM | VALIDATION: Batch: 250/279,TPR[all:,0.042,HumanFC:,0,EpiMap:,0.091,TFs:,0.004
11/06 09:08:29 AM | VALIDATION: Batch: 255/279,TPR[all:,0.027,HumanFC:,0,EpiMap:,0.067,TFs:,0.003
11/06 09:08:35 AM | VALIDATION: Batch: 260/279,TPR[all:,0.033,HumanFC:,0,EpiMap:,0.072,TFs:,0.003
11/06 09:08:41 AM | VALIDATION: Batch: 265/279,TPR[all:,0.035,HumanFC:,0,EpiMap:,0.076,TFs:,0.003
11/06 09:08:47 AM | VALIDATION: Batch: 270/279,TPR[all:,0.027,HumanFC:,0,EpiMap:,0.074,TFs:,0.003
11/06 09:08:52 AM | VALIDATION: Batch: 275/279,TPR[all:,0.052,HumanFC:,0,EpiMap:,0.088,TFs:,0.003
11/06 09:08:56 AM | VALIDATION: Batch: 279/279,TPR[all:,0.078,HumanFC:,0,EpiMap:,0.193,TFs:,0.008
,,,,,,,,
,,,,,,,,
,,,,,,,,
testing mean,,,,,,,,
,all,humanfc,epimap,fcs,,,,
,0.043192982,0,0.090631579,0.003859649,,,,
,,,,,,,,
testing max,,,,,,,,
,all,humanfc,epimap,fcs,,,,
,0.078,0,0.193,0.008,,,,
