11/06 07:00:28 AM | VALIDATION: Batch: 200/279,TPR[all:,0.049,HumanFC:,0,EpiMap:,0.092,TFs:,0.026
11/06 07:00:34 AM | VALIDATION: Batch: 205/279,TPR[all:,0.056,HumanFC:,0,EpiMap:,0.104,TFs:,0.026
11/06 07:00:40 AM | VALIDATION: Batch: 210/279,TPR[all:,0.051,HumanFC:,0,EpiMap:,0.103,TFs:,0.018
11/06 07:00:46 AM | VALIDATION: Batch: 215/279,TPR[all:,0.045,HumanFC:,0,EpiMap:,0.099,TFs:,0.028
11/06 07:00:51 AM | VALIDATION: Batch: 220/279,TPR[all:,0.059,HumanFC:,0,EpiMap:,0.101,TFs:,0.029
11/06 07:00:57 AM | VALIDATION: Batch: 225/279,TPR[all:,0.044,HumanFC:,0,EpiMap:,0.096,TFs:,0.022
11/06 07:01:03 AM | VALIDATION: Batch: 230/279,TPR[all:,0.054,HumanFC:,0,EpiMap:,0.103,TFs:,0.022
11/06 07:01:09 AM | VALIDATION: Batch: 235/279,TPR[all:,0.045,HumanFC:,0,EpiMap:,0.085,TFs:,0.019
11/06 07:01:15 AM | VALIDATION: Batch: 240/279,TPR[all:,0.046,HumanFC:,0,EpiMap:,0.088,TFs:,0.023
11/06 07:01:20 AM | VALIDATION: Batch: 245/279,TPR[all:,0.052,HumanFC:,0,EpiMap:,0.101,TFs:,0.03
11/06 07:01:26 AM | VALIDATION: Batch: 250/279,TPR[all:,0.054,HumanFC:,0,EpiMap:,0.112,TFs:,0.021
11/06 07:01:32 AM | VALIDATION: Batch: 255/279,TPR[all:,0.038,HumanFC:,0,EpiMap:,0.089,TFs:,0.017
11/06 07:01:38 AM | VALIDATION: Batch: 260/279,TPR[all:,0.043,HumanFC:,0,EpiMap:,0.089,TFs:,0.025
11/06 07:01:43 AM | VALIDATION: Batch: 265/279,TPR[all:,0.048,HumanFC:,0,EpiMap:,0.095,TFs:,0.02
11/06 07:01:49 AM | VALIDATION: Batch: 270/279,TPR[all:,0.035,HumanFC:,0,EpiMap:,0.09,TFs:,0.017
11/06 07:01:55 AM | VALIDATION: Batch: 275/279,TPR[all:,0.065,HumanFC:,0,EpiMap:,0.107,TFs:,0.033
11/06 07:01:59 AM | VALIDATION: Batch: 279/279,TPR[all:,0.085,HumanFC:,0,EpiMap:,0.199,TFs:,0.017
,,,,,,,,
,,,,,,,,
training mean,,,,,,,,
,all,humanfc,epimap,tfs,,,,
,0.056719298,0,0.112175439,0.024964912,,,,
training max,,,,,,,,
,all,humanfc,epimap,tfs,,,,
,0.092,0,0.199,0.042,,,,
