,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.199,0.947,0.012,0.111,0.996,0.754,0.171,0.965,0.009,0.08,0.996,0.689
1,0.1875,0.949,0.015,0.14,0.995,0.784,0.171,0.967,0.011,0.096,0.996,0.74
2,0.179,0.951,0.016,0.178,0.994,0.816,0.185,0.961,0.023,0.199,0.987,0.741
3,0.171,0.953,0.018,0.228,0.993,0.8405,0.184,0.965,0.013,0.155,0.995,0.77
4,0.161,0.953,0.019,0.2785,0.992,0.867,0.18,0.965,0.011,0.137,0.995,0.787
5,0.154,0.957,0.019,0.314,0.991,0.886,0.183,0.965,0.011,0.152,0.994,0.798
6,0.151,0.957,0.02,0.335,0.991,0.896,0.188,0.965,0.01,0.149,0.996,0.799
7,0.148,0.957,0.02,0.341,0.991,0.8995,0.187,0.965,0.011,0.155,0.995,0.79
8,0.146,0.957,0.02,0.35,0.991,0.902,0.186,0.965,0.011,0.157,0.995,0.79
9,0.146,0.957,0.02,0.355,0.991,0.902,0.187,0.965,0.011,0.156,0.995,0.789
